
================================================================
======== Log Rotated - 4/27/2024, 12:00:00 AM                   
================================================================
[06:00:15][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:27][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:38][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:50][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:01][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:12][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:23][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:34][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:46][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:58][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:10][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:22][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:34][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:46][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:58][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:09][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:21][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:32][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:43][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:54][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:05][SCHEDULER] Restarting server (scheduled restart at 22:00).
