
================================================================
======== Log Rotated - 4/20/2024, 12:00:00 AM                   
================================================================
[06:00:21][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:32][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:43][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:55][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:07][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:18][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:29][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:40][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:51][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:03][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:14][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:25][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:37][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:48][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:59][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:10][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:21][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:32][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:43][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:53][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:04][SCHEDULER] Restarting server (scheduled restart at 22:00).
